id;word;art;mean;art_chosen;art_right;art_wrong;categ
153;schon;;already, ever, just;;0;0;adj/adv
154;Flamme;die;flame;;0;0;palavra
155;Küche;die;kitchen;;0;0;comida
156;Apfel;der;maça;;0;0;comida
157;Apfelsine;die;orange;;0;0;comida
158;Baum;der;tree;;0;0;natureza
159;Vorsicht;die;care, caution;;0;0;palavra
160;vor;;before, in front of;;0;0;preposicao
161;vorab;;to begin, start with;;0;0;adj/adv
162;Büro;das;Büro;;0;0;trabalho
163;Herr;der;sir;;0;0;pessoa
164;Knabe;der;boy;;0;0;pessoa
165;wohnen;;to live;;0;0;verbo
166;jung;;young;;0;0;adj/adv
167;verheiratet;;married;;0;0;adj/adv
168;noch;;still;;0;0;adj/adv
169;aber;;but;;0;0;preposicao
170;und;;and;;0;0;preposicao
171;viele;;many;;0;0;adj/adv
172;GroBvater;der;grandfather;;0;0;pessoa
173;GroBmutter;die;grandmother;;0;0;pessoa
174;Eltern;die;parents;;0;0;pessoa
175;heiBen;;to call, to be called/named;;0;0;verbo
176;Fräulein;das;young lady, miss;;0;0;pessoa
177;trinken;;to drink;;0;0;verbo
178;stehen;;to stand, to be;;0;0;verbo
179;wünschen;;to want, to desire;;0;0;verbo
180;wie viele;;how much, how many;;0;0;palavra
181;warum;;why;;0;0;palavra
182;wo;;where;;0;0;palavra
183;übersetzen;;to translate;;0;0;verbo
184;Vorort;der;suburb (Vorstadt);;0;0;cidade
185;auBer;;except for;;0;0;preposicao
186;Ausdrück;der;expression, term, printout;;0;0;palavra
187;drücken;;to push;;0;0;verbo
188;drucken;;to print;;0;0;verbo
189;Beruf;der;profession;;0;0;trabalho
190;schnell;;fast;;0;0;adj/adv
191;langsam;;slow;;0;0;adj/adv
192;früh;;early;;0;0;adj/adv
193;woher;;from where;;0;0;palavra
194;brauchen;;to need;;0;0;verbo
195;sanft;;gentle, soft;;0;0;adj/adv
196;sparsam;;economical;;0;0;adj/adv
197;Ausfahrt;die;exit (for car);;0;0;casa
198;beachten;;consider;;0;0;verbo
199;üben;;to practise;;0;0;verbo
200;über;;over;;0;0;preposicao
201;Wörterbuch;das;dictionary;;0;0;palavra
202;Wort;das;word;;0;0;palavra
203;Schatz;der;treasure;;0;0;palavra
204;ÄuBere;das;outer, exterior;;0;0;palavra
205;laut;;loud;;0;0;adj/adv
206;Durchsage;die;message, announcement;;0;0;palavra
207;Sprecher;der;speaker;;0;0;palavra
208;Tischlein;das;little table/desk;;0;0;casa
209;Büfett;das;Büffet;;0;0;casa
210;Fenster;das;janela;;0;0;casa
211;Tür;die;porta;;0;0;casa
212;Wohnung;die;apartamento;;0;0;casa
213;Zimmer;das;quarto;;0;0;casa
214;bequem;;comfortable;;0;0;adj/adv
215;hell;;light, bright;;0;0;adj/adv
216;dunkel;;dark;;0;0;adj/adv
217;etwas;;something;;0;0;palavra
218;um;;around, about;;0;0;preposicao
219;klein;;little;;0;0;adj/adv
220;kleiner;;smaller;;0;0;adj/adv
221;möbliert;;mobiliado;;0;0;adj/adv
222;wirklich;;real, really;;0;0;adj/adv
223;auBerdem;;besides;;0;0;preposicao
224;beide;;both;;0;0;preposicao
225;einige;;some;;0;0;preposicao
226;mit;;with;;0;0;preposicao
227;so groB wie;;as big as;;0;0;adj/adv
228;Brüderlein;das;little brother;;0;0;pessoa
229;Schwesterchen;das;little sister;;0;0;pessoa
230;Arbeitzimmer;das;room for work;;0;0;casa
231;Badezimmer;das;bathroom;;0;0;casa
232;EBzimmer;das;dining room;;0;0;casa
233;Schlafzimmer;das;bedroom;;0;0;casa
234;Wohnzimmer;das;living room;;0;0;casa
235;Diele;die;hall;;0;0;casa
236;auch;;too;;0;0;preposicao
237;durch;;through;;0;0;preposicao
238;gegen;;against;;0;0;preposicao
239;ohne;;without;;0;0;preposicao
240;Dunkel;das;darkness;;0;0;natureza
241;viereckig;;square, rectangular;;0;0;adj/adv
242;Wand;die;wall;;0;0;casa
243;Blume;die;flower, bouquet;;0;0;natureza
244;Suche;die;search;;0;0;palavra
245;Füllfeder;die;fountain pen;;0;0;palavra
246;Importhändler;der;importer;;0;0;pessoa
247;Vertreter;der;representative, agent;;0;0;pessoa
248;Stunde;die;hour, time, lesson;;0;0;tempo
249;Deutschstunde;die;german lesson;;0;0;escola
250;besuchen;;to visit;;0;0;verbo
251;fragen;;to ask;;0;0;verbo
252;antworten;;to answer;;0;0;verbo
253;andere;;other;;0;0;adj/adv
254;fleiBig;;hard-working, industrious, diligent;;0;0;adj/adv
255;fast;;almost;;0;0;adj/adv
256;flieBend;;flowing, fluently;;0;0;adj/adv
257;immer;;always;;0;0;tempo
258;nimmer;;never;;0;0;tempo
259;deswegen;;therefore;;0;0;preposicao
260;bei;;by;;0;0;preposicao
261;nämlich;;namely;;0;0;adj/adv
262;machen;;to make;;0;0;verbo
263;usw (und so weiter);;and so on;;0;0;palavra
264;nur;;only;;0;0;adj/adv
265;dann;;then;;0;0;tempo
266;worüber;;about what, over what;;0;0;palavra
267;Stand;der;stand;;0;0;palavra
268;Reise;die;journey, trip;;0;0;palavra
269;Kürze;die;"shortness; brevity";;0;0;palavra
270;weder......noch;;Er ist weder Lehrer noch Arzt (neither......nor);;0;0;expressao
271;reden;;talk, speak, chat;;0;0;verbo
272;sein;;to be;;0;0;verbo
273;Feuer;das;fire;;0;0;natureza
274;Werbung;die;advertisement, propaganda;;0;0;palavra
275;Mitte;die;middle, centre;;0;0;palavra
276;heiter;;cheerful (fröhlich), amusing (amüsant), bright (hell, klar) (METEO), (aus heiterem Himmel = out of the blue);;0;0;adj/adv
277;bewahren;;( beschützen) to protect (vor +Dat from), ( beibehalten) to keep, jdn/etwas in guter Erinnerung bewahren to have happy memories of sb/sth;;0;0;verbo
278;Ruhe;die;calm, peace, quiet;;0;0;verbo
279;Knopf;der;button, knob;;0;0;palavra
280;minder;;"less; mehr oder minder";;0;0;adj/adv
281;betätigen;;to activate, to operate, [sich sportlich betätigen = to do sport] [sich geistig und körperlich betätigen = to stay active in body and mind];;0;0;verbo
282;ständig;;permanent, constant;;0;0;adj/adv
283;unser;;our;;0;0;preposicao
284;kürzen;;to shorten;;0;0;verbo
285;Speise;die;food;;0;0;comi
286;reisen;;to travel;;0;0;verbo
287;Raum;der;room;;0;0;casa
288;Taschenbuch;das;paperback book;;0;0;palavra
289;tief;;deep;;0;0;adj/adv
290;Tiefe;die;depth, deepness, profundity;;0;0;palavra
291;Rede;die;speech;;0;0;trabalho
292;unsicher;;insecure, unsure;;0;0;adj/adv
293;Abgang;der;exit, dispatch;;0;0;palavra
294;abgehen;;to leave, to departure;;0;0;verbo
295;Auge;das;eye;;0;0;corpo
296;Brief;der;letter;;0;0;palavra
297;Lehnstuhl;der;easy chair;;0;0;casa
298;Pult;das;desk;;0;0;trabalho
299;Sofa;das;sofa;;0;0;casa
300;Landkarte;die;map;;0;0;país
301;Bücherbrett;das;shelf;;0;0;casa
302;geben;;to give;;0;0;verbo
303;nennen;;to call, to name;;0;0;verbo
304;leicht;;easy, light;;0;0;adj/adv
305;schwer;;hard, heavy;;0;0;adj/adv
306;da;;there;;0;0;adj/adv
307;endlich;;finally;;0;0;adj/adv
308;überall;;everywhere;;0;0;adj/adv
309;wieder;;again;;0;0;adj/adv
310;jedesmal;;every time;;0;0;adj/adv
311;damit;;"with it; so that [konj]";;0;0;adj/adv
312;zeigen;;to point, to show;;0;0;verbo
313;bringen;;to bring;;0;0;verbo
314;senden;;to send;;0;0;verbo
315;reichen;;to reach, alcançar;;0;0;verbo
316;schreiben;;to write;;0;0;verbo
317;schenken;;to give sb sth [Geschenk];;0;0;verbo
318;aus;;out;;0;0;preposicao
319;seit;;since;;0;0;preposicao
320;zu;;to;;0;0;preposicao
321;Zug;der;train, feature, characteristic (Gesichtszug);;0;0;cidade
322;Ziel;das;destination, goal;;0;0;palavra
323;genau;;exact;;0;0;adj/adv
324;Hafen;der;"harbor; port";;0;0;cidade
325;kleiden;;to dress;;0;0;verbo
326;lieben;;to love;;0;0;verbo
327;leben;;to live;;0;0;verbo
328;Zugang;der;entrance, admission;;0;0;casa
329;Gemüse;das;vegetable;;0;0;comida
330;Eingang;der;entrance, entry;;0;0;casa
331;Einheit;die;unity, unit;;0;0;palavra
332;Einkauf;der;purchase, to go shopping, buying (department);;0;0;comida
333;Aschenbecher;der;ashtray;;0;0;casa
334;Feuerzeug;das;lighter (cigarette);;0;0;palavra
335;Stadt;die;city;;0;0;cidade
336;Zigarette;die;cigarrette;;0;0;palavra
337;Fabrik x fabric;die;Factory x Stoff, Gewebe (tecido);;0;0;cidade
338;Lagerhaus;das;warehouse;;0;0;cidade
339;Mensch;der;person, man/woman, mankind, ;;0;0;pessoa
340;Menschenmasse;die;crowd (of people);;0;0;pessoa
341;Zeit;die;time;;0;0;tempo
342;Lärm;der;noise;;0;0;cidade
343;Rauch;der;smoke;;0;0;cidade
344;Museum;das;museum;;0;0;cidade
345;Universität;die;university;;0;0;cidade
346;Bibliothék;die;biblioteque;;0;0;cidade
347;Theáter;das;theater;;0;0;cidade
348;beginnen;;to start, to begin;;0;0;verbo
349;scheinen;;to shine, to seem, to appear;;0;0;verbo
350;führen;;to lead;;0;0;verbo
351;legen;;to lay down, to lay;;0;0;verbo
352;loben;;to praise;;0;0;verbo
353;besser;;better;;0;0;adj/adv
354;besser als;;better than;;0;0;adj/adv
355;nett;;nice;;0;0;adj/adv
356;dann und wann;;now and then;;0;0;tempo
357;gern;;with pleasure;;0;0;adj/adv
358;lieber;;rather;;0;0;adj/adv
359;es gibt;;there is / there are;;0;0;verbo
360;laufen;;to run;;0;0;verbo
361;(an + dem) am;;at;;0;0;preposicao
